Title,Date
"A Escolha de Sofia","15/02/2015"
"Era uma vez: Temporada 1: O coração das trevas","15/02/2015"
"Knights of Sidonia: Temporada 1: O começo","14/02/2015"
"O enigma da pirâmide","14/02/2015"
"Era uma vez: Temporada 1: A capa vermelha","14/02/2015"
"Era uma vez: Temporada 1: Sonhador","10/02/2015"
"Era uma vez: Temporada 1: O que aconteceu com Frederick","08/02/2015"
"De Volta para o Futuro II","08/02/2015"
"Era uma vez: Temporada 1: Beleza externa","07/02/2015"
"Era uma vez: Temporada 1: O fruto da árvore venenosa","07/02/2015"
"Garota Interrompida","05/02/2015"
"Era uma vez: Temporada 1: O café da manhã","04/02/2015"
"Arquivo X: Temporada 1: Episódio 3","04/02/2015"
"Era uma vez: Temporada 1: O verdadeiro norte","03/02/2015"
"Psicose","02/02/2015"
"Era uma vez: Temporada 1: Almas desesperadas","01/02/2015"
"Secret Window","30/01/2015"
"Era uma vez: Temporada 1: Coração é um caçador solitário","28/01/2015"
"Era uma vez: Temporada 1: O pastor","25/01/2015"
"Era uma vez: Temporada 1: A voz interior","17/01/2015"
"Era uma vez: Temporada 1: O preço da magia","16/01/2015"
"Era uma vez: Temporada 1: Neve e paixão","14/01/2015"
"Era uma vez: Temporada 1: Aquilo que você mais ama","14/01/2015"
"Barbie Life in the Dreamhouse: Temporada 1: Presa no armário","11/01/2015"
"Como treinar o seu dragão","10/01/2015"
"Era uma vez: Temporada 1: Piloto","13/12/2014"
"O menino do pijama listrado","12/12/2014"
"Meu Malvado Favorito","29/11/2014"
"O Livro de Eli","17/11/2013"
"The Way Steve Jobs Has Changed the World","17/11/2013"
"Azumi","17/08/2013"
"Lolita","17/08/2013"
"Numb3rs: Temporada 1: Episódio 1","09/08/2013"
"Jornada nas Estrelas: A nova geração: Temporada 3: Laços de Família","04/08/2013"
"Jornada nas Estrelas: A nova geração: Temporada 3: Quem Observa os Observadores?","03/08/2013"
"O planeta dos macacos","13/07/2013"
"Além da imaginação (Série original): Temporada 3: Episódio 10","13/07/2013"
"Além da imaginação (Série original): Temporada 1: Episódio 3","13/07/2013"
"Duna","08/07/2013"
"Para Roma, com amor","08/07/2013"
"Os miseráveis","06/07/2013"
"Além da imaginação (Série original): Temporada 1: Episódio 2","06/07/2013"
"Além da imaginação (Série original): Temporada 1: Episódio 1","05/07/2013"
"Jogos Vorazes","04/07/2013"
"Arquivo X: Temporada 1: Episódio 1","04/07/2013"
